Area,Month,TemperatureChange
Germany,January,1.344
Germany,January,2.242
Germany,February,4.384
Germany,February,2.957
Germany,March,3.353
Germany,March,2.037
Germany,April,2.415
Germany,April,1.438
Germany,May,-0.755
Germany,May,1.073
Germany,June,4.429
Germany,June,0.968
Germany,July,2.339
Germany,July,1.289
Germany,August,2.926
Germany,August,0.963
Germany,September,0.866
Germany,September,1.217
Germany,October,2.174
Germany,October,1.345
Germany,November,1.407
Germany,November,1.311
Germany,December,3.207
Germany,December,2.114
Germany,Dec–Jan–Feb,2.941
Germany,Dec–Jan–Feb,1.729
Germany,Mar–Apr–May,1.671
Germany,Mar–Apr–May,0.895
Germany,Jun–Jul–Aug,3.231
Germany,Jun–Jul–Aug,0.684
Germany,Sep–Oct–Nov,1.482
Germany,Sep–Oct–Nov,0.801
Germany,Meteorological year,2.331
Germany,Meteorological year,0.614
Myanmar,January,1.515
Myanmar,January,0.55
Myanmar,February,1.762
Myanmar,February,0.51
Myanmar,March,0.784
Myanmar,March,0.45
Myanmar,April,1.781
Myanmar,April,0.587
Myanmar,May,2.14
Myanmar,May,0.542
Myanmar,June,1.717
Myanmar,June,0.324
Myanmar,July,1.129
Myanmar,July,0.252
Myanmar,August,1.372
Myanmar,August,0.227
Myanmar,September,0.891
Myanmar,September,0.263
Myanmar,October,1.544
Myanmar,October,0.397
Myanmar,November,2.043
Myanmar,November,0.525
Myanmar,December,1.058
Myanmar,December,0.735
Myanmar,Dec–Jan–Feb,1.742
Myanmar,Dec–Jan–Feb,0.518
Myanmar,Mar–Apr–May,1.568
Myanmar,Mar–Apr–May,0.369
Myanmar,Jun–Jul–Aug,1.406
Myanmar,Jun–Jul–Aug,0.204
Myanmar,Sep–Oct–Nov,1.493
Myanmar,Sep–Oct–Nov,0.276
Myanmar,Meteorological year,1.552
Myanmar,Meteorological year,0.242
Namibia,January,1.531
Namibia,January,0.676
Namibia,February,2.723
Namibia,February,0.666
Namibia,March,3.307
Namibia,March,0.57
Namibia,April,2.409
Namibia,April,0.574
Namibia,May,3.714
Namibia,May,0.642
Namibia,June,1.972
Namibia,June,0.765
Namibia,July,2.1
Namibia,July,0.538
Namibia,August,1.869
Namibia,August,0.547
Namibia,September,0.997
Namibia,September,0.553
Namibia,October,2.357
Namibia,October,0.674
Namibia,November,2.813
Namibia,November,0.684
Namibia,December,-0.429
Namibia,December,0.534
Namibia,Dec–Jan–Feb,1.83
